County,WeekStartDate,NewPos_All,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Adams County,2020-03-08,4,0,1,1,2,0,0,2020/07/12 15:04:56
Adams County,2020-03-15,3,0,0,3,0,0,0,2020/07/12 15:04:56
Adams County,2020-03-22,9,0,1,4,4,0,0,2020/07/12 15:04:56
Adams County,2020-03-29,17,2,8,4,3,0,0,2020/07/12 15:04:56
Adams County,2020-04-05,8,1,2,4,1,0,0,2020/07/12 15:04:56
Adams County,2020-04-12,2,0,1,1,0,0,0,2020/07/12 15:04:56
Adams County,2020-04-19,4,0,4,0,0,0,0,2020/07/12 15:04:56
Adams County,2020-04-26,2,0,1,1,0,0,0,2020/07/12 15:04:56
Adams County,2020-05-03,1,1,0,0,0,0,0,2020/07/12 15:04:56
Adams County,2020-05-10,2,0,1,1,0,0,0,2020/07/12 15:04:56
Adams County,2020-05-17,4,0,0,4,0,0,0,2020/07/12 15:04:56
Adams County,2020-05-24,17,2,9,4,2,0,0,2020/07/12 15:04:56
Adams County,2020-05-31,14,5,6,3,0,0,0,2020/07/12 15:04:56
Adams County,2020-06-07,11,1,1,5,3,0,1,2020/07/12 15:04:56
Adams County,2020-06-14,13,1,4,5,3,0,0,2020/07/12 15:04:56
Adams County,2020-06-21,31,0,17,8,5,1,0,2020/07/12 15:04:56
Adams County,2020-06-28,52,14,12,18,8,0,0,2020/07/12 15:04:56
Adams County,2020-07-05,44,12,18,9,3,2,0,2020/07/12 15:04:56
Asotin County,2020-03-15,2,0,0,0,2,0,0,2020/07/12 15:04:56
Asotin County,2020-03-29,2,0,0,2,0,0,0,2020/07/12 15:04:56
Asotin County,2020-04-05,7,0,1,4,1,1,0,2020/07/12 15:04:56
Asotin County,2020-04-12,4,1,0,3,0,0,0,2020/07/12 15:04:56
Asotin County,2020-04-19,3,0,0,0,2,1,0,2020/07/12 15:04:56
Asotin County,2020-05-17,1,0,0,1,0,0,0,2020/07/12 15:04:56
Asotin County,2020-05-31,1,0,0,0,1,0,0,2020/07/12 15:04:56
Asotin County,2020-06-21,1,0,0,0,1,0,0,2020/07/12 15:04:56
Benton County,2020-02-16,1,0,1,0,0,0,0,2020/07/12 15:04:56
Benton County,2020-03-01,7,0,0,0,3,4,0,2020/07/12 15:04:56
Benton County,2020-03-08,17,0,3,4,6,4,0,2020/07/12 15:04:56
Benton County,2020-03-15,57,2,14,16,10,14,1,2020/07/12 15:04:56
Benton County,2020-03-22,106,3,21,27,25,30,0,2020/07/12 15:04:56
Benton County,2020-03-29,88,2,24,29,21,12,0,2020/07/12 15:04:56
Benton County,2020-04-05,72,7,21,30,12,2,0,2020/07/12 15:04:56
Benton County,2020-04-12,66,3,30,22,9,2,0,2020/07/12 15:04:56
Benton County,2020-04-19,103,6,39,25,19,14,0,2020/07/12 15:04:56
Benton County,2020-04-26,81,7,24,26,15,9,0,2020/07/12 15:04:56
Benton County,2020-05-03,44,2,21,9,9,3,0,2020/07/12 15:04:56
Benton County,2020-05-10,67,4,32,24,6,1,0,2020/07/12 15:04:56
Benton County,2020-05-17,100,13,37,26,9,15,0,2020/07/12 15:04:56
Benton County,2020-05-24,122,12,48,32,21,9,0,2020/07/12 15:04:56
Benton County,2020-05-31,186,19,75,58,28,6,0,2020/07/12 15:04:56
Benton County,2020-06-07,260,31,121,77,25,6,0,2020/07/12 15:04:56
Benton County,2020-06-14,269,32,100,81,35,21,0,2020/07/12 15:04:56
Benton County,2020-06-21,289,40,141,76,25,7,0,2020/07/12 15:04:56
