Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/19/20,Hampton,20-29,183,3,0
7/19/20,Central Shenandoah,40-49,392,15,0
7/19/20,Pittsylvania-Danville,0-9,13,0,0
7/19/20,Crater,30-39,316,9,0
7/19/20,Virginia Beach,70-79,122,30,9
7/19/20,Virginia Beach,30-39,500,13,0
7/19/20,Piedmont,0-9,24,0,0
7/19/20,Central Shenandoah,30-39,362,7,0
7/19/20,Hampton,50-59,84,9,1
7/19/20,Peninsula,70-79,119,39,12
7/19/20,Arlington,20-29,520,22,0
7/19/20,West Piedmont,70-79,35,14,4
7/19/20,Richmond,20-29,577,16,0
7/19/20,Roanoke,0-9,17,0,0
7/19/20,Hampton,30-39,130,3,0
7/19/20,Thomas Jefferson,30-39,267,9,0
7/19/20,Western Tidewater,40-49,169,6,2
7/19/20,Richmond,50-59,320,55,2
7/19/20,Western Tidewater,50-59,204,15,4
7/19/20,Crater,Missing,14,0,0
7/19/20,Arlington,50-59,401,67,6
7/19/20,Piedmont,70-79,80,26,4
7/19/20,Alexandria,60-69,214,48,2
7/19/20,Portsmouth,30-39,203,9,1
7/19/20,Lenowisco,20-29,16,0,0
7/19/20,Central Virginia,30-39,84,1,0
7/19/20,Norfolk,19-Oct,114,1,0
7/19/20,New River,19-Oct,40,0,0
7/19/20,Central Virginia,20-29,135,2,0
7/19/20,Rappahannock,50-59,428,51,4
7/19/20,Rappahannock,60-69,233,47,6
7/19/20,Piedmont,20-29,183,2,0
7/19/20,New River,60-69,30,5,0
7/19/20,Roanoke,40-49,92,1,0
7/19/20,Three Rivers,20-29,154,4,0
7/19/20,Rappahannock,40-49,501,46,2
7/19/20,Portsmouth,80+,20,8,6
7/19/20,Central Shenandoah,Missing,1,0,0
7/19/20,Eastern Shore,70-79,49,16,9
7/19/20,Mount Rogers,70-79,80,29,13
7/19/20,Cumberland Plateau,70-79,9,1,0
7/19/20,Piedmont,19-Oct,39,0,0
7/19/20,Southside,20-29,67,2,0
7/19/20,Chesterfield,50-59,501,44,4
7/19/20,Rappahannock Rapidan,20-29,311,6,0
7/19/20,Cumberland Plateau,60-69,15,2,0
7/19/20,Roanoke,70-79,17,3,1
7/19/20,Central Shenandoah,20-29,467,9,0
7/19/20,Pittsylvania-Danville,80+,24,8,2
7/19/20,Virginia Beach,80+,118,36,24
7/19/20,Central Shenandoah,50-59,416,34,4
7/19/20,Lenowisco,Missing,0,0,0
7/19/20,Fairfax,30-39,2886,198,6
7/19/20,Lenowisco,60-69,14,5,2
7/19/20,Loudoun,30-39,797,28,0
7/19/20,West Piedmont,80+,24,14,1
7/19/20,Roanoke,80+,43,3,9
7/19/20,Fairfax,40-49,2760,273,10
7/19/20,Thomas Jefferson,80+,125,28,19
7/19/20,Roanoke,20-29,146,3,0
7/19/20,Henrico,60-69,309,51,34
7/19/20,Lord Fairfax,40-49,356,17,1
7/19/20,Western Tidewater,Missing,16,0,0
7/19/20,Chickahominy,60-69,87,21,6
7/19/20,Chesapeake,20-29,348,4,0
7/19/20,Three Rivers,Missing,3,0,0
7/19/20,Henrico,70-79,229,51,43
7/19/20,Western Tidewater,20-29,173,4,0
7/19/20,Peninsula,0-9,79,0,0
7/19/20,Loudoun,40-49,870,58,1
7/19/20,Pittsylvania-Danville,30-39,50,1,0
7/19/20,Loudoun,20-29,758,10,0
7/19/20,Crater,60-69,265,52,16
7/19/20,Loudoun,80+,214,53,73
7/19/20,Arlington,80+,203,84,69
7/19/20,Virginia Beach,19-Oct,146,0,0
7/19/20,Mount Rogers,80+,83,29,21
7/19/20,Eastern Shore,80+,50,22,19
7/19/20,Crater,19-Oct,78,0,0
7/19/20,Lenowisco,30-39,10,1,1
7/19/20,Norfolk,Missing,29,1,0
7/19/20,Henrico,Missing,34,1,1
7/19/20,New River,40-49,50,3,0
7/19/20,Central Virginia,0-9,12,0,0
7/19/20,New River,70-79,21,8,4
7/19/20,Loudoun,0-9,167,4,0
7/19/20,Central Virginia,70-79,32,4,2
7/19/20,Southside,0-9,7,0,0
7/19/20,Three Rivers,40-49,171,12,2
7/19/20,Chickahominy,30-39,106,3,0
7/19/20,Central Shenandoah,60-69,297,47,13
7/19/20,Western Tidewater,60-69,182,20,7
7/19/20,Cumberland Plateau,30-39,19,1,0
7/19/20,Portsmouth,19-Oct,56,0,0
7/19/20,Chesterfield,Missing,101,0,0
7/19/20,Alexandria,40-49,468,41,0
7/19/20,Thomas Jefferson,70-79,95,22,5
7/19/20,Three Rivers,30-39,182,3,0
7/19/20,Western Tidewater,70-79,111,23,19
7/19/20,Arlington,60-69,293,82,19
7/19/20,Cumberland Plateau,19-Oct,27,0,0
7/19/20,West Piedmont,30-39,110,4,0
7/19/20,Peninsula,19-Oct,115,1,0
7/19/20,Lenowisco,19-Oct,10,0,0
7/19/20,Chesapeake,0-9,48,1,0
7/19/20,Peninsula,50-59,233,24,3
7/19/20,Cumberland Plateau,Missing,0,0,0
7/19/20,Peninsula,60-69,176,31,3
7/19/20,Lord Fairfax,30-39,379,11,1
7/19/20,Virginia Beach,Missing,63,0,0
7/19/20,Arlington,40-49,454,51,8
7/19/20,West Piedmont,19-Oct,86,0,0
7/19/20,Chickahominy,70-79,64,21,6
7/19/20,Pittsylvania-Danville,20-29,53,0,0
7/19/20,Loudoun,50-59,708,62,3
7/19/20,Richmond,30-39,549,29,1
7/19/20,Thomas Jefferson,Missing,2,0,0
7/19/20,Rappahannock Rapidan,80+,28,16,8
7/19/20,Lord Fairfax,Missing,2,0,0
7/19/20,Cumberland Plateau,50-59,17,2,0
7/19/20,Loudoun,Missing,68,0,1
7/19/20,Southside,50-59,76,10,0
7/19/20,Chesterfield,20-29,644,9,0
7/19/20,Norfolk,70-79,79,29,6
7/19/20,Alleghany,19-Oct,88,0,0
7/19/20,Crater,80+,125,24,12
7/19/20,Portsmouth,Missing,20,0,0
7/19/20,Western Tidewater,19-Oct,52,0,0
7/19/20,Chesterfield,19-Oct,345,0,0
7/19/20,Southside,60-69,68,15,5
7/19/20,West Piedmont,0-9,22,1,0
7/19/20,Rappahannock Rapidan,70-79,46,14,8
7/19/20,Central Shenandoah,70-79,147,44,13
7/19/20,Chesapeake,30-39,333,13,0
7/19/20,Chickahominy,0-9,16,0,0
7/19/20,Prince William,0-9,384,10,0
7/19/20,Eastern Shore,50-59,276,20,5
7/19/20,Mount Rogers,50-59,138,9,1
7/19/20,Loudoun,19-Oct,644,0,0
7/19/20,Southside,80+,83,12,13
7/19/20,Central Virginia,80+,26,2,0
7/19/20,Rappahannock,Missing,23,0,0
7/19/20,Rappahannock Rapidan,30-39,346,18,1
7/19/20,New River,50-59,44,4,0
7/19/20,Richmond,80+,40,21,9
7/19/20,Mount Rogers,20-29,153,0,0
7/19/20,Eastern Shore,20-29,199,6,0
7/19/20,Hampton,19-Oct,45,0,0
7/19/20,Portsmouth,0-9,33,3,0
7/19/20,Crater,70-79,157,40,18
7/19/20,Chesterfield,40-49,643,24,3
7/19/20,Alexandria,Missing,11,0,0
7/19/20,Southside,30-39,80,4,0
7/19/20,Prince William,Missing,155,3,0
7/19/20,Hampton,60-69,65,11,2
7/19/20,Fairfax,20-29,2401,87,3
7/19/20,Thomas Jefferson,0-9,61,1,0
7/19/20,Lenowisco,40-49,11,2,0
7/19/20,Central Virginia,19-Oct,73,1,0
7/19/20,Lenowisco,70-79,15,6,1
7/19/20,Virginia Beach,0-9,79,0,0
7/19/20,Lenowisco,50-59,27,6,1
7/19/20,Chesapeake,70-79,98,31,3
